age,annual_income_inr,debt_to_income,credit_utilization,late_payments_12m,accounts_open,loan_amount_inr,employment_length_years,has_mortgage,is_self_employed,region,payment_history_score,default
25,864096,0.178,0.489,1,3,255907,17,1,0,South,0.508,0
58,411195,0.738,0.7,1,5,366204,20,0,1,Central,0.806,0
53,120000,0.178,0.541,0,3,162583,0,0,0,West,0.709,0
42,158259,0.679,0.301,1,5,378910,23,1,1,South,0.614,0
42,955406,0.409,0.827,0,4,10000,3,0,0,Central,0.687,0
63,499686,0.738,0.595,0,11,328212,18,1,1,South,0.527,0
25,412318,0.227,0.472,0,5,415697,1,0,0,North,0.665,0
55,1010665,0.287,0.528,1,8,111518,7,1,0,South,0.945,0
30,916289,0.695,0.75,0,4,632146,18,0,1,West,0.597,0
25,606112,0.345,0.533,0,4,10000,6,0,0,South,0.715,0
46,526649,0.448,0.733,0,5,436049,22,0,1,East,0.582,0
68,566974,0.639,0.315,1,8,462836,9,0,1,South,0.58,0
57,656790,0.753,0.235,0,3,122657,26,1,0,Central,0.824,0
58,1000011,0.47,0.755,3,6,359004,20,1,0,North,0.514,0
56,705616,0.115,0.783,1,6,123839,10,1,1,South,0.672,1
59,781507,0.237,0.653,1,7,354212,1,1,1,West,0.568,0
46,892317,0.043,0.104,0,2,251025,22,1,1,North,0.906,0
27,307580,0.323,0.342,1,11,295649,25,0,0,South,0.596,0
62,788715,0.831,0.752,0,3,178453,13,1,1,West,0.509,0
43,526357,0.648,0.334,1,7,179521,28,0,0,North,0.676,0
45,120000,0.641,0.663,1,4,140697,12,0,0,North,0.676,0
39,120000,0.178,0.821,0,10,423899,26,0,0,South,0.864,1
29,345470,0.539,0.067,0,11,629011,3,1,0,West,0.618,0
66,732805,0.365,0.31,0,6,750843,12,0,1,South,0.763,0
59,628449,0.203,0.353,0,10,482536,22,1,0,West,0.55,0
52,646091,0.678,0.46,2,9,294508,15,1,0,North,0.863,0
40,1087735,0.123,0.419,0,11,495060,16,0,0,North,0.832,0
61,282727,0.127,0.402,2,6,365994,15,0,1,West,0.783,0
47,593141,0.42,0.753,1,8,227206,3,0,1,South,0.825,0
42,676108,0.173,0.761,2,7,690493,17,1,0,East,0.739,0
43,415931,0.219,0.689,0,8,491790,0,0,0,Central,0.717,0
32,607081,0.217,0.59,0,5,147870,25,0,0,North,0.528,0
25,200012,0.484,0.682,0,5,489265,11,1,1,East,0.599,0
48,952476,0.745,0.948,2,8,412171,25,0,0,West,0.826,0
64,429596,0.406,0.815,0,10,109563,10,0,0,South,0.821,0
24,1107850,0.33,0.787,0,1,312111,9,0,1,South,0.833,0
63,591881,0.305,0.932,2,11,285897,19,0,0,North,0.635,0
61,857013,0.307,0.808,0,8,10000,3,0,1,East,0.952,0
34,586674,0.426,0.682,0,1,15678,15,0,0,North,0.674,0
51,592314,0.082,0.249,1,6,515941,16,1,1,South,0.769,0
29,453992,0.244,0.184,1,11,154420,8,0,1,South,1.0,0
58,629780,0.142,0.44,1,8,416383,1,1,0,East,0.623,0
55,679499,0.262,0.763,0,7,552575,25,1,1,West,0.808,0
38,403935,0.389,0.72,1,1,10000,20,1,1,West,0.473,0
24,568738,0.36,0.503,1,5,621806,23,1,1,East,0.644,0
68,447475,0.69,0.229,0,4,265361,21,0,1,North,0.789,1
42,1174916,0.505,0.306,0,10,377164,27,1,0,North,0.607,1
64,577567,0.04,0.738,0,7,687397,20,0,1,South,0.706,0
54,986308,0.395,0.303,0,3,492660,3,1,0,East,0.734,0
59,551094,0.61,0.523,2,6,264305,7,1,0,East,0.724,0
58,664821,0.456,0.262,0,8,193140,19,1,0,South,0.369,0
30,269658,0.57,0.528,2,2,210066,22,1,1,East,1.0,0
38,488231,0.445,0.331,1,6,186815,24,1,1,West,0.534,0
43,652633,0.562,0.727,2,1,552437,8,1,0,East,0.579,0
45,996500,0.383,0.538,2,2,407957,10,0,0,Central,0.457,0
23,655495,0.369,0.305,0,5,341892,12,0,0,North,0.546,0
47,945930,0.456,0.71,0,7,256149,29,0,1,East,0.689,0
28,760182,0.223,0.162,1,5,445629,20,0,0,North,0.848,0
57,1006850,0.18,0.858,1,11,10000,21,0,0,North,0.603,0
54,585239,0.348,0.642,1,5,672522,9,0,1,North,0.715,0
66,1197555,0.245,0.498,2,7,246410,9,0,0,South,0.743,0
57,478650,0.565,0.611,0,11,109557,26,0,1,North,0.525,0
38,408384,0.728,0.282,1,8,529304,15,0,1,West,0.415,1
68,297486,0.151,0.464,0,3,524640,9,0,1,East,0.549,0
41,1182756,0.049,0.301,0,1,285163,12,0,1,West,0.893,0
36,804861,0.15,0.263,1,8,565499,25,0,0,East,0.572,0
65,516469,0.218,0.178,0,3,500586,2,0,1,West,0.581,0
39,912255,0.675,0.299,0,2,375967,28,1,0,North,0.742,0
24,771923,0.588,0.398,1,10,10000,17,0,0,North,0.786,0
44,1091531,0.131,0.641,0,1,325281,11,1,0,West,0.518,0
59,213041,0.517,0.51,0,4,301765,8,0,0,West,0.8,0
30,533659,0.231,0.767,0,7,250245,1,1,0,North,0.763,1
43,484369,0.226,0.662,3,11,225873,26,0,0,East,0.602,0
27,120000,0.212,0.664,0,10,450314,7,0,0,South,0.408,0
54,865081,0.337,0.231,0,8,51015,3,1,1,Central,0.808,0
44,532400,0.425,0.768,4,4,538800,23,1,1,East,0.741,0
37,784907,0.34,0.635,0,3,289924,19,1,1,Central,0.715,0
32,1189942,0.245,0.202,1,6,131578,2,0,1,South,0.48,0
48,511689,0.892,0.535,0,7,241968,13,1,0,North,1.0,0
53,494711,0.63,0.733,1,7,339809,26,1,0,West,0.535,0
67,629666,0.568,0.118,0,11,588457,6,0,1,West,0.605,0
42,846811,0.522,0.638,1,8,442038,17,0,0,South,0.833,0
28,458321,0.309,0.522,0,2,536241,18,1,1,North,0.702,0
61,442259,0.241,0.643,1,7,287365,23,0,0,North,0.717,0
51,864297,0.662,0.607,0,9,257558,6,1,1,East,0.507,0
55,694659,0.463,0.176,0,10,671380,22,1,1,North,0.496,0
25,120000,0.06,0.838,1,5,272449,0,1,0,North,0.746,1
36,293652,0.148,0.583,1,3,190453,22,1,1,East,0.628,0
58,975308,0.598,0.625,0,5,170033,0,1,1,East,0.974,0
61,700482,0.273,0.164,1,9,358973,0,0,0,East,0.514,0
42,409451,0.557,0.429,1,3,83183,2,0,1,West,0.63,0
60,557397,0.3,0.209,3,11,336621,22,1,1,South,0.719,1
62,603309,0.46,0.834,0,10,332782,24,0,1,East,0.624,0
39,783933,0.199,0.766,2,4,418231,20,1,0,Central,0.572,0
65,260434,0.422,0.325,0,5,10000,28,0,1,South,0.703,0
35,389762,0.071,0.685,1,9,10000,18,0,1,North,0.996,0
32,668238,0.567,0.179,1,7,212441,29,1,0,South,0.595,0
54,575041,0.451,0.356,0,7,272111,25,0,1,East,0.45,0
52,742964,0.495,0.718,1,2,76571,20,0,0,West,0.775,0
27,292623,0.151,0.094,3,4,26319,15,0,1,South,0.638,0
61,689282,0.43,0.434,1,3,386478,15,1,1,East,0.539,0
30,872895,0.287,0.501,0,5,237621,17,1,0,East,0.787,0
60,721704,0.181,0.731,0,7,461728,7,1,0,South,0.764,0
21,634777,0.396,0.254,0,10,24814,15,0,0,West,0.591,0
60,576029,0.149,0.913,0,11,278361,2,1,0,North,0.444,0
59,391287,0.282,0.599,0,6,634495,22,0,0,West,0.832,0
59,582000,0.047,0.182,0,5,240528,29,0,0,East,0.592,0
53,914926,0.575,0.037,3,4,183314,27,1,1,Central,0.734,0
44,570242,0.306,0.707,0,10,482416,21,1,0,South,0.675,0
